"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-11","66",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-12","69",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-13","72",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-14","70",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-15","63",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-16","68",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-17","68",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-18","68",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-19","70",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-20","73",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-21","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-22","76",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-23","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-24","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-25","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-26","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-27","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-28","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-29","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-30","74",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-03-31","77",,
