,OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
167,Android,US,Grand Junction,T-Mobile,male,1993,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,Only a little,Mesa County
168,Android,US,Greeley,Unknown,female,1955,Once a week,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
169,Web,US,Denver,Unknown,female,1952,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,Only a little,Douglas County
170,iOS,US,Denver,Unknown,female,1993,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Arapahoe County
171,Android,US,Denver,Verizon,female,1989,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Larimer County
172,Web,US,Fort Collins,Unknown,female,1963,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Larimer County
173,Web,US,Colorado Springs,Unknown,female,1982,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Montezuma County
174,Web,US,Boulder,Unknown,male,1978,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,Not at all,A great deal,Denver County
175,Android,US,Greeley,Verizon,female,1972,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Weld County
176,Web,US,Golden,Unknown,male,1995,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
177,Web,US,Pagosa Springs,Unknown,male,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
178,Web,US,Boulder,Unknown,male,1998,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
179,Web,US,Loveland,Unknown,male,1986,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
180,Web,US,Denver,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
181,Web,US,Longmont,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
182,Web,US,Denver,Unknown,male,1980,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
183,Android,US,Mancos,AT&T,female,1988,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,Don’t know,A great deal,Montezuma County
184,Android,US,Colorado Springs,AT&T,female,1956,Every day,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A great deal,A great deal,El Paso County
185,Web,US,Colorado Springs,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
186,Web,US,Denver,Unknown,male,1995,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
187,Web,US,Loveland,Unknown,male,1952,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer
188,iOS,US,Denver,Unknown,female,1960,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Jefferson County
189,Web,US,Denver,Unknown,male,1951,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer County
190,Web,US,Florissant,Unknown,female,1948,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Only a little,Teller
191,Web,US,Aurora,Unknown,female,1948,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Arapahoe County
192,Web,US,Loveland,Unknown,female,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer County
193,Android,US,Denver,AT&T,male,1967,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
194,Android,US,Denver,T-Mobile,female,1982,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Don’t know,Don’t know,Denver County
195,Android,US,Loveland,Unknown,female,1968,Once a week,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Weld County
196,Android,US,Denver,Verizon,male,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Eagle County
197,iOS,US,Denver,Sprint,female,1958,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
198,Android,US,Pueblo,AT&T,female,1975,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Pueblo County
199,Android,US,Greeley,Sprint,female,1989,Every day,"Registered to vote, registered as Democratic",No,Very important,Not very worried,A moderate amount,A moderate amount,Weld County
200,Web,US,Broomfield,Unknown,female,1951,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Broomfield County
201,Web,US,Denver,Unknown,female,1993,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A great deal,Denver County
202,Web,US,Littleton,Unknown,male,1986,Once a month,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Arapahoe County
203,Android,US,Brush,Unknown,female,1994,Every day,"Registered to vote, registered as Democratic",No,Very important,Not at all worried,A great deal,A great deal,Morgan County
204,Android,US,Arvada,T-Mobile,female,1986,Every day,I don’t know,No,Very important,Very worried,A moderate amount,A great deal,La Plata County
205,iOS,US,Colorado Springs,Unknown,male,1987,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Don’t know,El Paso County
206,Android,US,Aurora,Unknown,female,1984,Once a week,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,A moderate amount,Arapahoe County
207,Android,US,Grand Junction,T-Mobile,male,1989,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Not at all,A moderate amount,Mesa County
208,iOS,US,Akron,Unknown,female,1993,Every day,I don’t know,No,Not too important,Not very worried,Not at all,A moderate amount,Otero
209,Web,US,Denver,Unknown,female,1944,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Only a little,Larimer County
210,Web,US,Johnstown,Unknown,female,1955,Less than once a month,"Registered to vote, registered as Republican ",Not sure,Not too important,Not very worried,Not at all,Don’t know,Weld County
211,iOS,US,Fort Collins,Sprint,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,A moderate amount,Larimer County
212,iOS,US,Denver,Unknown,male,1966,Once a week,Not registered to vote,Not sure,Not too important,Not very worried,A moderate amount,A moderate amount,"Wyoming, not Colorado"
213,iOS,US,Denver,Verizon,male,1998,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Denver County
214,Web,US,Denver,Unknown,female,1953,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
215,Android,US,Pueblo,Unknown,female,1980,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Pueblo County
217,Web,US,Rifle,Unknown,female,1967,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Garfield County
218,Web,US,Denver,Unknown,female,1976,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Very worried,A great deal,Only a little,Denver County
219,Android,US,Unknown,Verizon,female,1992,Every day,Not registered to vote,Not sure,Somewhat important,Very worried,A great deal,Don’t know,Montana
220,iOS,US,Aurora,Sprint,female,1979,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Denver County
221,Web,US,Arvada,Unknown,male,1979,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Somewhat important,Somewhat worried,Only a little,A moderate amount,Jefferson County
222,Web,US,Littleton,Unknown,male,1986,Less than once a month,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
223,iOS,US,Denver,T-Mobile,male,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,A moderate amount,Denver County
224,Android,US,Unknown,Unknown,male,2000,Once a month,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Larimer County
225,Android,US,Colorado Springs,Unknown,male,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,Don’t know,El Paso County
226,iOS,US,Denver,AT&T,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Don’t know,Don’t know,Larimer County
227,Android,US,Denver,Unknown,female,1985,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,None
228,Android,US,Westminster,Sprint,male,1986,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Adams County
229,iOS,US,Colorado Springs,Verizon,female,1992,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,El Paso County
230,Android,US,Lamar,Unknown,male,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Otero
231,Android,US,Denver,Verizon,male,1970,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,Not at all,Denver County
232,Android,US,Arvada,AT&T,female,1979,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Not at all,Not at all,Jefferson County
233,Android,US,Denver,T-Mobile,female,1992,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Don’t know,Don’t know,Larimer County
234,Android,US,Parachute,Unknown,female,1972,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Garfield County
235,Web,US,Englewood,Unknown,male,1979,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Other
236,iOS,US,Littleton,Verizon,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
237,Android,US,Fort Collins,Verizon,male,1979,Once a week,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
238,iOS,US,Denver,Unknown,female,1969,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
239,Android,US,Fort Collins,Sprint,female,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Larimer County
240,iOS,US,Parker,Unknown,male,1990,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Douglas County
241,Android,US,Denver,T-Mobile,male,1972,I never use Facebook or Instagram,Not registered to vote,No,Extremely important,Somewhat worried,Don’t know,A moderate amount,None
242,iOS,US,Littleton,Verizon,female,1961,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Douglas County
243,iOS,US,Denver,Verizon,male,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Boulder County
244,Android,US,Aurora,Unknown,male,1987,I never use Facebook or Instagram,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
245,Android,US,Brighton,Verizon,female,1992,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,Don’t know,A great deal,Adams County
246,Android,US,Denver,Verizon,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
247,iOS,US,Brighton,Unknown,male,1978,I never use Facebook or Instagram,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Don’t know,Adams County
248,Android,US,Denver,Unknown,female,1979,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Douglas County
249,Android,US,Unknown,Verizon,male,1967,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
250,Android,US,Unknown,AT&T,male,1991,Once a week,I don’t know,Not sure,Very important,Not at all worried,A great deal,A great deal,Other
251,Android,US,Unknown,T-Mobile,male,1990,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Not at all worried,A great deal,A great deal,Jefferson County
252,iOS,US,Unknown,Unknown,male,1985,Once a month,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Huerfano
253,Android,US,Unknown,Verizon,male,1983,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Only a little,Larimer County
254,Android,US,Unknown,Verizon,female,1991,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Pueblo County
255,iOS,US,Unknown,Unknown,female,1996,I never use Facebook or Instagram,Not registered to vote,Not sure,Very important,Very worried,A great deal,A moderate amount,Montezuma County
256,Android,US,Unknown,Verizon,female,1991,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Other
257,iOS,US,Unknown,Sprint,male,1963,Once a week,Not registered to vote,"Yes, I am employed in the oil and gas industry",Not too important,Somewhat worried,A moderate amount,A great deal,La Plata County
258,Web,US,Unknown,Unknown,male,1959,Once a week,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Only a little,A moderate amount,None
259,Web,US,Unknown,Unknown,male,1977,Once a week,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
260,Web,US,Unknown,Unknown,male,1987,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
261,Android,US,Unknown,Unknown,female,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Somewhat important,Somewhat worried,A moderate amount,Only a little,Malheur County
262,Android,US,Unknown,Unknown,male,1971,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A moderate amount,Denver County
263,Android,US,Unknown,Verizon,female,2000,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Larimer County
264,Android,US,Unknown,T-Mobile,male,2002,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Not very worried,Only a little,Not at all,El Paso County
265,Android,US,Unknown,T-Mobile,male,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Denver County
266,iOS,US,Grand Junction,T-Mobile,female,1995,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Mesa County
267,Web,US,Grand Junction,Unknown,female,1958,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Mesa County
268,Web,US,Montrose,Unknown,male,1978,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A great deal,A great deal,El Paso County
269,Web,US,Durango,Unknown,male,1973,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,La Plata County
270,iOS,US,Denver,Unknown,female,1994,Every day,Not registered to vote,No,Very important,Somewhat worried,A great deal,A great deal,Denver County
271,iOS,US,Denver,Unknown,female,1963,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Other
272,Android,US,Boulder,Unknown,male,1982,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Eagle County
273,Web,US,Arvada,Unknown,male,1982,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
274,Web,US,Aurora,Unknown,male,1999,Once a week,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
275,Web,US,Denver,Unknown,male,1998,Once a week,I don’t know,Not sure,Somewhat important,Very worried,Don’t know,Only a little,Denver County
276,iOS,US,Denver,T-Mobile,female,1990,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
277,Web,US,Calhan,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
278,Android,US,Denver,Verizon,female,1987,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,A moderate amount,Grand
279,Android,US,Denver,Verizon,male,1997,I never use Facebook or Instagram,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Somewhat important,Not very worried,Not at all,Not at all,Denver County
280,iOS,US,Parker,Verizon,female,1976,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A moderate amount,Douglas County
281,iOS,US,Westminster,Verizon,female,1980,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Only a little,Adams County
282,iOS,US,Castle Rock,AT&T,male,1952,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not at all worried,Not at all,Not at all,Douglas County
283,iOS,US,Arvada,T-Mobile,female,1954,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Mesa County
284,Web,US,Denver,Unknown,male,1988,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
285,Web,US,Denver,Unknown,male,1992,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Montezuma County
286,Android,US,Denver,T-Mobile,male,1983,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not at all worried,Not at all,Not at all,Adams County
287,Android,US,Aurora,Sprint,male,1977,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Only a little,Only a little,Denver County
288,Web,US,Denver,Unknown,male,1975,Every day,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Not very worried,A great deal,A great deal,Denver County
289,Android,US,Denver,T-Mobile,male,1976,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not at all worried,Only a little,A moderate amount,Arapahoe County
291,iOS,US,Denver,Unknown,male,1971,Once a week,Not registered to vote,No,Not too important,Not very worried,Not at all,Not at all,Adams County
292,Android,US,Denver,Boost Mobile,male,1970,Once a week,Not registered to vote,Not sure,Extremely important,Very worried,Don’t know,A great deal,Other
293,Android,US,Denver,AT&T,male,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
294,Web,US,Broomfield,Unknown,male,1982,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Not at all worried,Only a little,A great deal,Arapahoe County
295,Android,US,Denver,Unknown,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
296,iOS,US,Johnstown,Unknown,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A great deal,Larimer County
297,iOS,US,Denver,Unknown,male,1980,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Denver CO
298,Android,US,Aurora,T-Mobile,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Don’t know,Don’t know,Jefferson County
299,Web,US,Denver,Unknown,female,1948,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
300,Web,US,Loveland,Unknown,female,1954,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Boulder County
301,iOS,US,Littleton,Verizon,female,1982,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Grand
302,iOS,US,Denver,T-Mobile,female,1993,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
303,Android,US,Denver,Verizon,male,1974,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,La Plata County
304,Web,US,Denver,Unknown,male,1967,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,Don’t know,A great deal,Jefferson County
305,Android,US,Denver,T-Mobile,female,1983,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
306,Web,US,Castle Rock,Unknown,female,1990,I never use Facebook or Instagram,Not registered to vote,No,Not at all important,Very worried,A great deal,A great deal,Montezuma County
307,Android,US,Denver,T-Mobile,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Other
308,Android,US,Granby,Verizon,male,1956,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Denver County
309,Android,US,Aurora,T-Mobile,female,1980,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
310,Web,US,Boulder,Unknown,female,1944,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Boulder County
311,Android,US,Boulder,Unknown,female,1944,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Boulder County
312,Android,US,Fort Collins,T-Mobile,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Larimer County
313,iOS,US,Littleton,Unknown,female,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Jefferson County
314,Android,US,Denver,AT&T,female,1971,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A moderate amount,Adams County
315,iOS,US,Denver,Unknown,female,1991,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
316,iOS,US,Denver,Verizon,male,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
317,iOS,US,Denver,Unknown,male,1984,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A moderate amount,Don’t know,Denver County
318,iOS,US,Denver,Verizon,female,1954,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Boulder County
319,iOS,US,Denver,Verizon,female,1988,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,Only a little,A great deal,Denver County
320,Web,US,Aurora,Unknown,male,1994,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,El Paso County
321,Web,US,Hugo,Unknown,male,1995,Once a month,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
322,Android,US,Littleton,Unknown,male,1980,Once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A great deal,A great deal,Adams County
323,Web,US,Wellington,Unknown,male,1998,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
324,Android,US,Denver,T-Mobile,male,1990,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
325,iOS,US,Denver,Unknown,female,2000,I never use Facebook or Instagram,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Denver County
326,Web,US,Littleton,Unknown,male,1981,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Arapahoe County
327,Android,US,Denver,Verizon,male,1991,Every day,Not registered to vote,No,Extremely important,Somewhat worried,A great deal,A great deal,Arapahoe County
328,Android,US,Denver,Verizon,male,1965,Every day,Not registered to vote,No,Extremely important,Very worried,Don’t know,A great deal,Denver County
329,iOS,US,Aurora,Unknown,female,1973,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,Only a little,A great deal,Arapahoe County
331,Android,US,Denver,Verizon,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
332,Android,US,Denver,AT&T,female,1983,Every day,I don’t know,No,Somewhat important,Somewhat worried,A moderate amount,Don’t know,None
333,Android,US,Westminster,AT&T,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
334,Android,US,Denver,AT&T,male,1976,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,El Paso County
