OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
Android,US,Parker,AT&T,female,1956,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
Web,US,Aurora,Unknown,male,1975,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Littleton,Sprint,female,1988,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Denver,T-Mobile,male,1973,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Weld County
Android,US,Denver,Verizon,female,1991,Every day,I don’t know,No,Extremely important,Very worried,A great deal,A great deal,Larimer County
Android,US,Arvada,T-Mobile,male,1983,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Extremely important,Very worried,A moderate amount,A great deal,Other
Android,US,Denver,Verizon,female,1962,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
iOS,US,Pueblo,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Denver,AT&T,male,1992,Once a week,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,I don't live in colorado
Android,US,Denver,Unknown,male,1983,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A moderate amount,Denver County
iOS,US,Cedaredge,AT&T,female,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Denver County
Web,US,Denver,Unknown,male,1987,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Adams County
Web,US,Littleton,Unknown,male,1980,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Arvada,Unknown,male,2000,Every day,Not registered to vote,Not sure,Extremely important,Very worried,A moderate amount,Only a little,Adams County
Web,US,Beulah,Unknown,male,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Unknown,Unknown,male,1971,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Other
Web,US,Longmont,Unknown,male,1998,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Colorado Springs,Verizon,female,1985,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Denver,Unknown,male,1994,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,Don’t know,A great deal,Denver County
