OS,Country,City,Provider,Gender,DOB,facebook_use,voter_reg,works_in_oil_gas,climate_change_importance,climate_change_worry,climate_change_personal_harm,climate_change_future_gen_harm,county
Android,US,Denver,Verizon,female,1989,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Larimer County
Web,US,Fort Collins,Unknown,female,1963,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,A moderate amount,A great deal,Larimer County
Web,US,Colorado Springs,Unknown,female,1982,Every day,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Montezuma County
Web,US,Boulder,Unknown,male,1978,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,Not at all,A great deal,Denver County
Android,US,Greeley,Verizon,female,1972,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Weld County
Web,US,Golden,Unknown,male,1995,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Pagosa Springs,Unknown,male,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Boulder,Unknown,male,1998,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Loveland,Unknown,male,1986,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Web,US,Denver,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Longmont,Unknown,male,1998,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Denver,Unknown,male,1980,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Mancos,AT&T,female,1988,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,Don’t know,A great deal,Montezuma County
Android,US,Colorado Springs,AT&T,female,1956,Every day,"Registered to vote, registered as Democratic",Not sure,Extremely important,Very worried,A great deal,A great deal,El Paso County
Web,US,Colorado Springs,Unknown,male,1995,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Denver,Unknown,male,1995,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Loveland,Unknown,male,1952,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer
iOS,US,Denver,Unknown,female,1960,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Jefferson County
Web,US,Denver,Unknown,male,1951,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer County
Web,US,Florissant,Unknown,female,1948,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Only a little,Teller
Web,US,Aurora,Unknown,female,1948,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Arapahoe County
Web,US,Loveland,Unknown,female,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not at all important,Not at all worried,Not at all,Not at all,Larimer County
Android,US,Denver,AT&T,male,1967,Once a week,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
Android,US,Denver,T-Mobile,female,1982,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Don’t know,Don’t know,Denver County
Android,US,Loveland,Unknown,female,1968,Once a week,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,A great deal,Weld County
Android,US,Denver,Verizon,male,1976,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Eagle County
iOS,US,Denver,Sprint,female,1958,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Android,US,Pueblo,AT&T,female,1975,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Greeley,Sprint,female,1989,Every day,"Registered to vote, registered as Democratic",No,Very important,Not very worried,A moderate amount,A moderate amount,Weld County
Web,US,Broomfield,Unknown,female,1951,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Broomfield County
Web,US,Denver,Unknown,female,1993,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,Only a little,A great deal,Denver County
Web,US,Littleton,Unknown,male,1986,Once a month,"Registered to vote, registered as Democratic",No,Very important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Brush,Unknown,female,1994,Every day,"Registered to vote, registered as Democratic",No,Very important,Not at all worried,A great deal,A great deal,Morgan County
Android,US,Arvada,T-Mobile,female,1986,Every day,I don’t know,No,Very important,Very worried,A moderate amount,A great deal,La Plata County
iOS,US,Colorado Springs,Unknown,male,1987,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Don’t know,El Paso County
Android,US,Aurora,Unknown,female,1984,Once a week,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,A moderate amount,Arapahoe County
Android,US,Grand Junction,T-Mobile,male,1989,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Not at all,A moderate amount,Mesa County
iOS,US,Akron,Unknown,female,1993,Every day,I don’t know,No,Not too important,Not very worried,Not at all,A moderate amount,Otero
Web,US,Denver,Unknown,female,1944,Every day,"Registered to vote, registered as Republican ",No,Not too important,Not very worried,Not at all,Only a little,Larimer County
Web,US,Johnstown,Unknown,female,1955,Less than once a month,"Registered to vote, registered as Republican ",Not sure,Not too important,Not very worried,Not at all,Don’t know,Weld County
iOS,US,Fort Collins,Sprint,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,A moderate amount,Larimer County
iOS,US,Denver,Unknown,male,1966,Once a week,Not registered to vote,Not sure,Not too important,Not very worried,A moderate amount,A moderate amount,"Wyoming, not Colorado"
iOS,US,Denver,Verizon,male,1998,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Denver County
Web,US,Denver,Unknown,female,1953,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Weld County
Android,US,Pueblo,Unknown,female,1980,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Pueblo County
Android,US,Pueblo,Unknown,female,1980,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Pueblo County
Web,US,Rifle,Unknown,female,1967,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Garfield County
Web,US,Denver,Unknown,female,1976,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Very worried,A great deal,Only a little,Denver County
Android,US,Unknown,Verizon,female,1992,Every day,Not registered to vote,Not sure,Somewhat important,Very worried,A great deal,Don’t know,Montana
iOS,US,Aurora,Sprint,female,1979,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Denver County
Web,US,Arvada,Unknown,male,1979,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Somewhat important,Somewhat worried,Only a little,A moderate amount,Jefferson County
Web,US,Littleton,Unknown,male,1986,Less than once a month,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Denver,T-Mobile,male,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,A moderate amount,Denver County
Android,US,Unknown,Unknown,male,2000,Once a month,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Larimer County
Android,US,Colorado Springs,Unknown,male,1982,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Only a little,Don’t know,El Paso County
iOS,US,Denver,AT&T,female,1991,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Not very worried,Don’t know,Don’t know,Larimer County
Android,US,Denver,Unknown,female,1985,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,None
Android,US,Westminster,Sprint,male,1986,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Adams County
iOS,US,Colorado Springs,Verizon,female,1992,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A great deal,El Paso County
Android,US,Lamar,Unknown,male,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Only a little,A moderate amount,Otero
Android,US,Denver,Verizon,male,1970,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Not at all,Not at all,Denver County
Android,US,Arvada,AT&T,female,1979,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Not at all,Not at all,Jefferson County
Android,US,Denver,T-Mobile,female,1992,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Don’t know,Don’t know,Larimer County
Android,US,Parachute,Unknown,female,1972,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Garfield County
Web,US,Englewood,Unknown,male,1979,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Other
iOS,US,Littleton,Verizon,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Fort Collins,Verizon,male,1979,Once a week,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A great deal,A great deal,Larimer County
iOS,US,Denver,Unknown,female,1969,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
Android,US,Fort Collins,Sprint,female,1987,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Larimer County
iOS,US,Parker,Unknown,male,1990,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Douglas County
Android,US,Denver,T-Mobile,male,1972,I never use Facebook or Instagram,Not registered to vote,No,Extremely important,Somewhat worried,Don’t know,A moderate amount,None
iOS,US,Littleton,Verizon,female,1961,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Douglas County
iOS,US,Denver,Verizon,male,1979,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Boulder County
Android,US,Aurora,Unknown,male,1987,I never use Facebook or Instagram,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
Android,US,Brighton,Verizon,female,1992,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,Don’t know,A great deal,Adams County
Android,US,Denver,Verizon,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
iOS,US,Brighton,Unknown,male,1978,I never use Facebook or Instagram,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Don’t know,Adams County
Android,US,Denver,Unknown,female,1979,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Douglas County
Android,US,Unknown,Verizon,male,1967,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Not at all,Denver County
Android,US,Unknown,AT&T,male,1991,Once a week,I don’t know,Not sure,Very important,Not at all worried,A great deal,A great deal,Other
Android,US,Unknown,T-Mobile,male,1990,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Not at all worried,A great deal,A great deal,Jefferson County
iOS,US,Unknown,Unknown,male,1985,Once a month,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A great deal,Huerfano
Android,US,Unknown,Verizon,male,1983,Every day,Not registered to vote,No,Not at all important,Not at all worried,Not at all,Only a little,Larimer County
Android,US,Unknown,Verizon,female,1991,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Pueblo County
iOS,US,Unknown,Unknown,female,1996,I never use Facebook or Instagram,Not registered to vote,Not sure,Very important,Very worried,A great deal,A moderate amount,Montezuma County
Android,US,Unknown,Verizon,female,1991,Every day,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Other
iOS,US,Unknown,Sprint,male,1963,Once a week,Not registered to vote,"Yes, I am employed in the oil and gas industry",Not too important,Somewhat worried,A moderate amount,A great deal,La Plata County
Web,US,Unknown,Unknown,male,1959,Once a week,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Somewhat important,Somewhat worried,Only a little,A moderate amount,None
Web,US,Unknown,Unknown,male,1977,Once a week,Not registered to vote,"Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Web,US,Unknown,Unknown,male,1987,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Denver County
Android,US,Unknown,Unknown,female,1983,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",Not sure,Somewhat important,Somewhat worried,A moderate amount,Only a little,Malheur County
Android,US,Unknown,Unknown,male,1971,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A moderate amount,Denver County
Android,US,Unknown,Verizon,female,2000,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,A moderate amount,A moderate amount,Larimer County
Android,US,Unknown,T-Mobile,male,2002,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Not very worried,Only a little,Not at all,El Paso County
Android,US,Unknown,T-Mobile,male,1977,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Grand Junction,T-Mobile,female,1995,Every day,Not registered to vote,No,Somewhat important,Somewhat worried,A moderate amount,A great deal,Mesa County
Web,US,Grand Junction,Unknown,female,1958,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Very worried,A moderate amount,A great deal,Mesa County
Web,US,Montrose,Unknown,male,1978,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A great deal,A great deal,El Paso County
Web,US,Durango,Unknown,male,1973,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,La Plata County
iOS,US,Denver,Unknown,female,1994,Every day,Not registered to vote,No,Very important,Somewhat worried,A great deal,A great deal,Denver County
iOS,US,Denver,Unknown,female,1963,Every day,"Registered to vote, registered as Republican ",No,Not at all important,Not at all worried,Not at all,Not at all,Other
Android,US,Boulder,Unknown,male,1982,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Eagle County
Web,US,Arvada,Unknown,male,1982,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Aurora,Unknown,male,1999,Once a week,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Somewhat worried,A moderate amount,A great deal,Denver County
Web,US,Denver,Unknown,male,1998,Once a week,I don’t know,Not sure,Somewhat important,Very worried,Don’t know,Only a little,Denver County
iOS,US,Denver,T-Mobile,female,1990,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
Web,US,Calhan,Unknown,male,1980,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,El Paso County
Android,US,Denver,Verizon,female,1987,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not very worried,Only a little,A moderate amount,Grand
Android,US,Denver,Verizon,male,1997,I never use Facebook or Instagram,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Somewhat important,Not very worried,Not at all,Not at all,Denver County
iOS,US,Parker,Verizon,female,1976,Every day,"Registered to vote, registered as Democratic","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Very worried,A great deal,A moderate amount,Douglas County
iOS,US,Westminster,Verizon,female,1980,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Not at all important,Not at all worried,Not at all,Only a little,Adams County
iOS,US,Castle Rock,AT&T,male,1952,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Not too important,Not at all worried,Not at all,Not at all,Douglas County
iOS,US,Arvada,T-Mobile,female,1954,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Mesa County
Web,US,Denver,Unknown,male,1988,Every day,"Registered to vote, registered as Republican ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Web,US,Denver,Unknown,male,1992,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Montezuma County
Android,US,Denver,T-Mobile,male,1983,I never use Facebook or Instagram,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Not too important,Not at all worried,Not at all,Not at all,Adams County
Android,US,Aurora,Sprint,male,1977,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not very worried,Only a little,Only a little,Denver County
Web,US,Denver,Unknown,male,1975,Every day,"Registered to vote, registered as Republican ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Extremely important,Not very worried,A great deal,A great deal,Denver County
Android,US,Denver,T-Mobile,male,1976,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Not at all worried,Only a little,A moderate amount,Arapahoe County
Web,US,Denver,Unknown,male,1995,Once a week,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Denver,Unknown,male,1971,Once a week,Not registered to vote,No,Not too important,Not very worried,Not at all,Not at all,Adams County
Android,US,Denver,Boost Mobile,male,1970,Once a week,Not registered to vote,Not sure,Extremely important,Very worried,Don’t know,A great deal,Other
Android,US,Denver,AT&T,male,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
Web,US,Broomfield,Unknown,male,1982,Once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, both myself and close friends or family members are employed in the oil and gas industry",Very important,Not at all worried,Only a little,A great deal,Arapahoe County
Android,US,Denver,Unknown,female,1980,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Johnstown,Unknown,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A great deal,A great deal,Larimer County
iOS,US,Denver,Unknown,male,1980,Less than once a month,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Denver CO
Android,US,Aurora,T-Mobile,female,1984,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Not very worried,Don’t know,Don’t know,Jefferson County
Web,US,Denver,Unknown,female,1948,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
Web,US,Loveland,Unknown,female,1954,Every day,"Registered to vote, registered as Democratic",No,Very important,Somewhat worried,Only a little,A moderate amount,Boulder County
iOS,US,Littleton,Verizon,female,1982,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Grand
iOS,US,Denver,T-Mobile,female,1993,Every day,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A great deal,A great deal,Pueblo County
Android,US,Denver,Verizon,male,1974,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,La Plata County
Web,US,Denver,Unknown,male,1967,Every day,"Registered to vote, registered as Republican ",No,Very important,Somewhat worried,Don’t know,A great deal,Jefferson County
Android,US,Denver,T-Mobile,female,1983,Every day,"Registered to vote, registered as Democratic",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Web,US,Castle Rock,Unknown,female,1990,I never use Facebook or Instagram,Not registered to vote,No,Not at all important,Very worried,A great deal,A great deal,Montezuma County
Android,US,Denver,T-Mobile,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Very important,Somewhat worried,A moderate amount,A moderate amount,Other
Android,US,Granby,Verizon,male,1956,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,Denver County
Android,US,Aurora,T-Mobile,female,1980,I never use Facebook or Instagram,"Registered to vote, registered as Republican ",No,Extremely important,Very worried,A moderate amount,A great deal,Arapahoe County
Web,US,Boulder,Unknown,female,1944,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Boulder County
Android,US,Boulder,Unknown,female,1944,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Boulder County
Android,US,Fort Collins,T-Mobile,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Larimer County
iOS,US,Littleton,Unknown,female,1965,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,Only a little,A moderate amount,Jefferson County
Android,US,Denver,AT&T,female,1971,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A moderate amount,Adams County
iOS,US,Denver,Unknown,female,1991,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,A moderate amount,A great deal,Jefferson County
iOS,US,Denver,Verizon,male,1987,Every day,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Denver County
iOS,US,Denver,Unknown,male,1984,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,A moderate amount,Don’t know,Denver County
iOS,US,Denver,Verizon,female,1954,Every day,"Registered to vote, registered as Republican ","Yes, a close friend or family member is employed in the oil and gas industry",Very important,Very worried,A moderate amount,A great deal,Boulder County
iOS,US,Denver,Verizon,female,1988,Once a week,"Registered to vote, registered as Democratic",No,Extremely important,Somewhat worried,Only a little,A great deal,Denver County
Web,US,Aurora,Unknown,male,1994,Every day,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Very important,Very worried,A great deal,A great deal,El Paso County
Web,US,Hugo,Unknown,male,1995,Once a month,"Registered to vote, registered as Democratic","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Littleton,Unknown,male,1980,Once a month,"Registered to vote, registered as Democratic","Yes, a close friend or family member is employed in the oil and gas industry",Extremely important,Somewhat worried,A great deal,A great deal,Adams County
Web,US,Wellington,Unknown,male,1998,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ","Yes, I am employed in the oil and gas industry",Extremely important,Very worried,A great deal,A great deal,Arapahoe County
Android,US,Denver,T-Mobile,male,1990,Once a week,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A moderate amount,A great deal,Denver County
iOS,US,Denver,Unknown,female,2000,I never use Facebook or Instagram,Not registered to vote,No,Extremely important,Very worried,A great deal,A great deal,Denver County
Web,US,Littleton,Unknown,male,1981,Once a month,"Registered to vote, registered as Democratic",No,Extremely important,Very worried,Only a little,A great deal,Arapahoe County
Android,US,Denver,Verizon,male,1991,Every day,Not registered to vote,No,Extremely important,Somewhat worried,A great deal,A great deal,Arapahoe County
Android,US,Denver,Verizon,male,1965,Every day,Not registered to vote,No,Extremely important,Very worried,Don’t know,A great deal,Denver County
iOS,US,Aurora,Unknown,female,1973,Every day,"Registered to vote, registered as Republican ",No,Very important,Very worried,Only a little,A great deal,Arapahoe County
Android,US,Denver,AT&T,female,1974,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Jefferson County
Android,US,Denver,Verizon,female,1988,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Douglas County
Android,US,Denver,AT&T,female,1983,Every day,I don’t know,No,Somewhat important,Somewhat worried,A moderate amount,Don’t know,None
Android,US,Westminster,AT&T,female,1986,Every day,"Registered to vote, registered as Independent, third party, unknown, or unaffiliated ",No,Extremely important,Very worried,A great deal,A great deal,Jefferson County
Android,US,Denver,AT&T,male,1976,Every day,"Registered to vote, registered as Democratic",No,Very important,Very worried,A moderate amount,A great deal,El Paso County
Android,US,Aurora,Unknown,male,1945,I never use Facebook or Instagram,I don’t know,Not sure,Not at all important,Not at all worried,Don’t know,Don’t know,Denver County
Android,US,Arvada,T-Mobile,female,1994,I never use Facebook or Instagram,Not registered to vote,No,Not at all important,Not at all worried,Only a little,Don’t know,Adams County
Android,US,Denver,T-Mobile,male,1991,Every day,Not registered to vote,No,Very important,Somewhat worried,A moderate amount,Only a little,Adams County
Android,US,Fort Morgan,Unknown,female,1966,Once a week,Not registered to vote,No,Not too important,Not very worried,Not at all,Not at all,None
iOS,US,Windsor,Unknown,female,1952,Every day,"Registered to vote, registered as Republican ",No,Somewhat important,Somewhat worried,Only a little,Only a little,Other
Android,US,Denver,Unknown,female,1984,Once a week,"Registered to vote, registered as Democratic",No,Somewhat important,Very worried,A moderate amount,A moderate amount,Arapahoe County
