,IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
734,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,0,Units,,,3.0,,
735,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,0,Units,,,6.0,,
736,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,0,Units,,,2.0,,
737,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,0,Units,,,1.0,,
738,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,GRC,Greece,NBR,Number,0,Units,,,3.0,,
739,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,18.0,,
740,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,18.0,,
741,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,1.0,,
742,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,1.0,,
743,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,2.0,,
744,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,1.0,,
745,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,HUN,Hungary,NBR,Number,0,Units,,,1.0,,
746,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,0,Units,,,3.0,,
747,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,0,Units,,,3.0,,
748,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,0,Units,,,1.0,,
749,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,0,Units,,,1.0,,
750,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,IRL,Ireland,NBR,Number,0,Units,,,1.0,,
751,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,0,Units,,,44.0,,
752,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,0,Units,,,4.0,,
753,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,0,Units,,,0.0,,
754,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,0,Units,,,10.0,,
755,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ITA,Italy,NBR,Number,0,Units,,,14.0,,
756,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,0,Units,,,91.0,,
757,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,0,Units,,,5.0,,
758,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,0,Units,,,20.0,,
759,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,0,Units,,,22.0,,
760,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,JPN,Japan,NBR,Number,0,Units,,,47.0,,
761,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,21.0,,
762,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,6.0,,
763,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,2.0,,
764,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,0.0,,
765,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,3.0,,
766,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,5.0,,
767,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,2.0,,
768,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,0.0,,
769,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,KOR,Korea,NBR,Number,0,Units,,,0.0,,
770,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,0,Units,,,14.0,,
771,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,0,Units,,,1.0,,
772,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,0,Units,,,2.0,,
773,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,0,Units,,,1.0,,
774,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,LUX,Luxembourg,NBR,Number,0,Units,,,4.0,,
775,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,413.0,,
776,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,267.0,,
777,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,15.0,,
778,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,0.0,,
779,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,43.0,,
780,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,58.0,,
781,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,13.0,,
782,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,0.0,,
783,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,MEX,Mexico,NBR,Number,0,Units,,,36.0,,
784,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,0,Units,,,16.0,,
785,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,0,Units,,,2.0,,
786,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,0,Units,,,2.0,,
787,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,0,Units,,,3.0,,
788,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NLD,Netherlands,NBR,Number,0,Units,,,7.0,,
789,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,0,Units,,,8.0,,
790,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,0,Units,,,4.0,,
791,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,0,Units,,,0.0,,
792,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,0,Units,,,0.0,,
793,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,NZL,New Zealand,NBR,Number,0,Units,,,1.0,,
794,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,0,Units,,,6.0,,
795,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,0,Units,,,6.0,,
796,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,0,Units,,,1.0,,
797,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,0,Units,,,1.0,,
798,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,NOR,Norway,NBR,Number,0,Units,,,1.0,,
799,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,POL,Poland,NBR,Number,0,Units,,,19.0,,
800,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,POL,Poland,NBR,Number,0,Units,,,19.0,,
801,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,0,Units,,,20.0,,
802,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,0,Units,,,17.0,,
803,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,0,Units,,,2.0,,
804,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,0,Units,,,2.0,,
805,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,PRT,Portugal,NBR,Number,0,Units,,,2.0,,
806,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,18.0,,
807,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,18.0,,
808,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,3.0,,
809,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,5.0,,
810,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,8.0,,
811,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,3.0,,
812,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SVK,Slovak Republic,NBR,Number,0,Units,,,5.0,,
813,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,39.0,,
814,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,2.0,,
815,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,1.0,,
816,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,6.0,,
817,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,9.0,,
818,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,2.0,,
819,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,1.0,,
820,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,ESP,Spain,NBR,Number,0,Units,,,6.0,,
821,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,13.0,,
822,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,13.0,,
823,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,0.0,,
824,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,5.0,,
825,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,5.0,,
826,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,0.0,,
827,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SWE,Sweden,NBR,Number,0,Units,,,5.0,,
828,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,19.0,,
829,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,18.0,,
830,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,9.0,,
831,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,0.0,,
832,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,4.0,,
833,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,13.0,,
834,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,9.0,,
835,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,0.0,,
836,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,CHE,Switzerland,NBR,Number,0,Units,,,4.0,,
837,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,TUR,Turkey,NBR,Number,0,Units,,,39.0,,
838,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,TUR,Turkey,NBR,Number,0,Units,,,10.0,,
839,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,15.0,,
840,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,9.0,,
841,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,1.0,,
842,CRITICAL,Number of critically endangered species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,1.0,,
843,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,1.0,,
844,CRITICAL_IND,Number of critically endangered indigenous species,AMPHIBIAN,Amphibians,GBR,United Kingdom,NBR,Number,0,Units,,,1.0,,
845,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,65.0,,
846,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,64.0,,
847,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,23.0,,
848,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,11.0,,
849,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,44.0,,
850,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,23.0,,
851,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,CHL,Chile,NBR,Number,0,Units,,,11.0,,
852,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,11.0,,
853,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,10.0,,
854,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,2.0,,
855,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,1.0,,
856,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,3.0,,
857,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,2.0,,
858,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,EST,Estonia,NBR,Number,0,Units,,,1.0,,
859,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,RUS,Russia,NBR,Number,0,Units,,,0.0,,
860,TOT_KNOWN,Total number of known species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,21.0,,
861,TOT_KNOWN_IND,Total number of indigenous known species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,21.0,,
862,ENDANGERED,Number of endangered species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,3.0,,
863,VULNERABLE,Number of vulnerable species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,14.0,,
864,THREATENED,Total number of threatened species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,17.0,,
865,ENDANGERED_IND,Number of endangered indigenous species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,3.0,,
866,VULNERABLE_IND,Number of vulnerable indigenous species,AMPHIBIAN,Amphibians,SVN,Slovenia,NBR,Number,0,Units,,,14.0,,
867,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,23968.0,,
868,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,21020.0,,
869,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,555.0,,
870,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,198.0,,
871,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,588.0,,
872,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUS,Australia,NBR,Number,0,Units,,,1341.0,,
873,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,2950.0,,
874,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,2950.0,,
875,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,348.0,,
876,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,172.0,,
877,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,465.0,,
878,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,985.0,,
879,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,348.0,,
880,CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,172.0,,
881,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,AUT,Austria,NBR,Number,0,Units,,,465.0,,
882,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,1818.0,,
883,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,1438.0,,
884,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,107.0,,
885,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,253.0,,
886,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,63.0,,
887,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,423.0,,
888,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,107.0,,
889,CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,253.0,,
890,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,BEL,Belgium,NBR,Number,0,Units,,,63.0,,
891,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,5185.0,,
892,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,3870.0,,
893,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,325.0,,
894,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,467.0,,
895,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,1107.0,,
896,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,325.0,,
897,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,CAN,Canada,NBR,Number,0,Units,,,467.0,,
898,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,2256.0,,
899,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,2256.0,,
900,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,412.0,,
901,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,284.0,,
902,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,212.0,,
903,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,CZE,Czech Republic,NBR,Number,0,Units,,,908.0,,
904,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,2918.0,,
905,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,1139.0,,
906,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,101.0,,
907,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,33.0,,
908,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,28.0,,
909,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,162.0,,
910,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,101.0,,
911,CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,33.0,,
912,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,DNK,Denmark,NBR,Number,0,Units,,,28.0,,
913,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,1240.0,,
914,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,920.0,,
915,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,88.0,,
916,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,31.0,,
917,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,78.0,,
918,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,197.0,,
919,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,88.0,,
920,CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,31.0,,
921,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,FIN,Finland,NBR,Number,0,Units,,,78.0,,
922,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,0,Units,,,4982.0,,
923,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,0,Units,,,132.0,,
924,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,0,Units,,,238.0,,
925,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,FRA,France,NBR,Number,0,Units,,,421.0,,
926,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,4305.0,,
927,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,3880.0,,
928,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,378.0,,
929,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,212.0,,
930,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,820.0,,
931,THREATENED,Total number of threatened species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,1410.0,,
932,ENDANGERED_IND,Number of endangered indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,378.0,,
933,CRITICAL_IND,Number of critically endangered indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,212.0,,
934,VULNERABLE_IND,Number of vulnerable indigenous species,VASCULAR_PLANT,Vascular plants,DEU,Germany,NBR,Number,0,Units,,,820.0,,
935,TOT_KNOWN,Total number of known species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,0,Units,,,5850.0,,
936,TOT_KNOWN_IND,Total number of indigenous known species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,0,Units,,,5700.0,,
937,ENDANGERED,Number of endangered species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,0,Units,,,64.0,,
938,CRITICAL,Number of critically endangered species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,0,Units,,,17.0,,
939,VULNERABLE,Number of vulnerable species,VASCULAR_PLANT,Vascular plants,GRC,Greece,NBR,Number,0,Units,,,174.0,,
