,IUCN,IUCN Category,SPEC,Species,COU,Country,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
0,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,380.0,,
1,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,353.0,,
2,ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,38.0,,
3,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,10.0,,
4,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,59.0,,
5,THREATENED,Total number of threatened species,MAMMAL,Mammals,AUS,Australia,NBR,Number,0,Units,,,107.0,,
6,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,101.0,,
7,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,101.0,,
8,ENDANGERED,Number of endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,6.0,,
9,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,4.0,,
10,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,17.0,,
11,THREATENED,Total number of threatened species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,27.0,,
12,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,6.0,,
13,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,4.0,,
14,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,AUT,Austria,NBR,Number,0,Units,,,17.0,,
15,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,84.0,,
16,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,65.0,,
17,ENDANGERED,Number of endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,2.0,,
18,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,4.0,,
19,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,12.0,,
20,THREATENED,Total number of threatened species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,18.0,,
21,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,2.0,,
22,CRITICAL_IND,Number of critically endangered indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,4.0,,
23,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,BEL,Belgium,NBR,Number,0,Units,,,12.0,,
24,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,221.0,,
25,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,209.0,,
26,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,10.0,,
27,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,31.0,,
28,THREATENED,Total number of threatened species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,52.0,,
29,ENDANGERED_IND,Number of endangered indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,10.0,,
30,VULNERABLE_IND,Number of vulnerable indigenous species,MAMMAL,Mammals,CAN,Canada,NBR,Number,0,Units,,,31.0,,
31,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,95.0,,
32,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,92.0,,
33,ENDANGERED,Number of endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,1.0,,
34,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,10.0,,
35,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,4.0,,
36,THREATENED,Total number of threatened species,MAMMAL,Mammals,CZE,Czech Republic,NBR,Number,0,Units,,,15.0,,
37,TOT_KNOWN,Total number of known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,71.0,,
38,TOT_KNOWN_IND,Total number of indigenous known species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,54.0,,
39,ENDANGERED,Number of endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,2.0,,
40,CRITICAL,Number of critically endangered species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,1.0,,
41,VULNERABLE,Number of vulnerable species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,6.0,,
42,THREATENED,Total number of threatened species,MAMMAL,Mammals,DNK,Denmark,NBR,Number,0,Units,,,9.0,,
