survey_id,survey_name,language,last_connection_date,week_of_last_connection,start_time_of_last_connectio,duration_of_connection_in_seconds,duration_of_connection_in_minutes,last_question_filled,number_of_connections,disposition,total_duration_in_sec,device,device_os,survey_link,person_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
12807,DTP001,en,20210619,6,14:01:32,42,1,Q1_INTRO,1,2,42,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfAsbIIs%2B%2F52P3wMzZjZl%2F5Gdcr%2BUy99vMnLqWBHmQKdr,19726993,,,,,,,
76567,DTP001,en,20210614,1,20:47:54,42,1,Q1_INTRO,1,2,42,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFvcYTq56IYL6ML7HR614WEEXkAcHhO0TtphQ1rtoZw%2F,86309,,,,,,,
77139,DTP001,en,20210616,3,00:20:53,42,1,Q1_INTRO,1,2,42,Smartphone,Android,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfH9hqk81Lsb5fhkxNhpPRzrR5IVtoFWQ0ogA4K97z2O2,977814,,,,,,,
4698,DTP001,en,20210618,5,20:39:22,42,1,Q1_INTRO,1,2,42,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfM%2FZnm53ouFPeRL0NTYh1A5CcvZkW35zhGRJFax7dJim,17669592,,,,,,,
40709,DTP001,en,20210615,2,17:06:06,46,1,Q1_INTRO,1,2,46,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfPkTUJG2%2FuGs0gEqZ3ZWaSy0DxnRKGCaB95W5BID%2BdLZ,1036746,,,,,,,
50792,DTP001,en,20210615,2,17:45:16,46,1,Q1_INTRO,1,2,46,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfC1hi6rnC77T4td8az%2B7weCHNlF%2Fbe2uVzvrzRJi1Yk%2F,55941,,,,,,,
11257,DTP001,en,20210615,2,21:58:37,48,1,Q1_INTRO,1,2,48,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfGeBoGONoPplQ3%2BN3x9kAif4zMgqMJGjwrgIRN9G0v2Z,2615676,,,,,,,
98304,DTP001,en,20210616,3,20:32:48,51,1,Q1_INTRO,1,2,51,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfFuHI4b1BlJciRoUIyS0rtA2nmFIusm7lx5T0AB7d86I,815758,,,,,,,
56858,DTP001,en,20210615,2,22:34:50,51,1,Q1_INTRO,1,2,51,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfEaugsoaPWM%2BKsFtoq%2FId9ze6%2B9cNoH6JOEBlNFTquin,2763952,,,,,,,
17782,DTP001,en,20210619,6,14:59:40,53,1,Q1_INTRO,2,2,178,Smartphone,IOS,https://surveys.reconmr.com/S2/1/DTP001/?st=46JGj3mkjK%2BsguvNMtOJfMlFHArAZhPzBNtRbNmXq2G%2BnbVq1VW5O4VdoyXg%2BlWD,17571341,,,,,,,
