,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GDP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
97,Ningxia,2003,55.30940462116796,57.16601199238626,580.0,442.6,,1,0.07
98,Anhui,2003,168.01108409421602,155.3331613613128,6163.0,4307.8,,0,0.07
99,Shandong,2003,324.9965954637279,324.9965954637279,9125.0,10903.2,,1,0.07
100,Shanxi,2003,251.74746073171508,232.8001859006076,3314.0,2854.3,,1,0.07
101,Guangdong,2003,261.7097571948845,279.2768366405704,8963.0,15979.8,,0,0.07
102,Guangxi,2003,66.7283884797944,71.93776457900762,4857.0,2798.2,,0,0.07
103,Xinjiang,2003,77.19816645730835,77.19816645730835,1934.0,1889.2,,1,0.07
104,Jiangsu,2003,250.7905478325932,269.1691335506024,7458.0,12442.9,,0,0.07
105,Jiangxi,2003,75.9435118131823,74.30761051144559,4254.0,2812.7,,0,0.07
106,Hebei,2003,328.5863222781353,329.6877125592575,6769.0,6333.6,,1,0.07
107,Henan,2003,215.6703855831443,218.81267990254983,9667.0,6942.4,,0,0.07
108,Zhejiang,2003,178.40673024437208,194.50199737963504,4857.0,9753.4,,0,0.07
109,Hainan,2003,15.583605764656156,15.583605764656156,811.0,714.0,,0,0.07
110,Hubei,2003,165.21098335665522,160.8604807703151,5685.0,4757.5,,0,0.07
111,Hunan,2003,104.8635343083427,106.71388713677848,6663.0,4660.0,,0,0.07
112,Gansu,2003,66.99191314428829,68.13108367418437,2537.0,1399.9,,1,0.07
113,Fujian,2003,82.77706523210024,81.83926046221332,3502.0,4999.6,,0,0.07
114,Guizhou,2003,110.06983638105353,105.06825700993335,3870.0,1429.0,,0,0.07
115,Liaoning,2003,236.74976655685964,245.6428654028819,4210.0,5906.3,,1,0.07
116,Chongqing,2003,68.39063976993806,76.23804675891677,2803.0,2615.6,,0,0.07
117,Shaanxi,2003,86.25337057527062,84.02253067303167,3672.0,2587.7,,1,0.07
118,Qinghai,2003,17.639305355331178,19.53881003074772,534.0,385.0,,1,0.07
119,Heilongjiang,2003,129.5900848720875,129.38700892953707,3815.0,3609.7,,1,0.07
120,Shanghai,2004,148.7175388498583,150.75595275868795,1835.0,8101.6,3.66,0,0.92
121,Yunnan,2004,58.71334930795526,58.966066093425184,4415.0,3136.4,33.64,0,0.92
122,InnerMongolia,2004,207.34123283473784,177.43965993410984,2393.0,2942.4,12.73,1,0.92
123,Beijing,2004,88.13360480455498,118.16431215240753,1493.0,6252.5,18.93,1,0.92
124,Jilin,2004,112.31363224008979,110.96490420597603,2709.0,2455.2,37.43,1,0.92
125,Sichuan,2004,175.04585112067187,171.85856957295564,8090.0,6304.0,23.5,0,0.92
126,Tianjin,2004,78.27709719258758,79.04182201083694,1024.0,2621.1,7.47,0,0.92
127,Ningxia,2004,65.76234329536479,63.6260658551139,588.0,519.9,2.2,1,0.92
128,Anhui,2004,153.80979276224824,146.07931849493198,6228.0,5129.1,22.95,0,0.92
129,Shandong,2004,397.7479550002054,397.7479550002054,9180.0,13308.1,12.58,1,0.92
130,Shanxi,2004,267.8796564901098,247.5138896032344,3335.0,3496.0,11.72,1,0.92
131,Guangdong,2004,296.94889766081866,325.8352037576278,9111.0,18658.3,45.81,0,0.92
132,Guangxi,2004,86.57206217198977,94.97332892204977,4889.0,3305.1,34.37,0,0.92
133,Xinjiang,2004,90.23711693954526,90.23711693954526,1963.0,2170.4,1.08,1,0.92
134,Jiangsu,2004,311.6325269318042,333.8795374095623,7523.0,14823.1,4.51,0,0.92
135,Jiangxi,2004,89.23593643475334,89.39272417547592,4284.0,3398.1,53.37,0,0.92
136,Hebei,2004,374.2083853381341,377.72190814949914,6809.0,7588.6,18.08,1,0.92
137,Henan,2004,277.5516691458938,280.3515783530092,9717.0,8411.2,12.52,0,0.92
138,Zhejiang,2004,217.99425324399323,234.87195465587916,4925.0,11482.1,50.8,0,0.92
139,Hainan,2004,17.15462922133394,17.15462922133394,818.0,802.7,39.56,0,0.92
140,Hubei,2004,182.22808044977964,169.44216270999206,5698.0,5546.8,25.98,0,0.92
141,Hunan,2004,125.33712211504572,128.16237562601964,6698.0,5542.6,38.9,0,0.92
142,Gansu,2004,77.8625102528593,79.62474454603434,2541.0,1653.6,4.83,1,0.92
143,Fujian,2004,100.19851098058658,100.83538165265283,3529.0,5712.1,60.52,0,0.92
144,Guizhou,2004,128.61403070173245,120.45347657749237,3904.0,1649.4,20.81,0,0.92
145,Liaoning,2004,250.24175649861894,268.3719264313689,4217.0,6469.8,30.95,1,0.92
146,Chongqing,2004,68.26929937154937,77.85425873959484,2793.0,3059.5,,0,0.92
147,Shaanxi,2004,107.6779250593402,105.37498231555448,3681.0,3141.6,28.74,1,0.92
148,Qinghai,2004,19.026267501089876,18.76874724660647,539.0,443.7,0.43,1,0.92
149,Heilongjiang,2004,140.1887758432081,135.75675630823798,3817.0,4134.7,38.72,1,0.92
150,Shanghai,2005,158.93896557540904,177.0606811600169,1890.0,9197.1,3.17,0,-0.85
151,Yunnan,2005,133.12047515383244,129.4020694692744,4450.0,3497.7,40.77,0,-0.85
152,InnerMongolia,2005,240.50272826985747,202.6166010982992,2403.0,3523.7,17.7,1,-0.85
153,Beijing,2005,92.12048292769188,126.91784270231673,1538.0,7149.8,21.26,1,-0.85
154,Jilin,2005,143.44249116182823,137.68380699742596,2716.0,2776.5,38.13,1,-0.85
155,Sichuan,2005,170.07584148769268,167.29591378883174,8212.0,7195.9,30.27,0,-0.85
156,Tianjin,2005,88.98238145157475,90.93750701500265,1043.0,3158.6,8.14,0,-0.85
157,Ningxia,2005,51.729326906244594,51.586982901147536,596.0,579.9,6.08,1,-0.85
158,Anhui,2005,156.6682292992142,151.1560733909039,6120.0,5675.9,24.03,0,-0.85
159,Shandong,2005,556.5209976162159,556.5482871137799,9248.0,15947.5,13.44,1,-0.85
160,Shanxi,2005,290.0299785287693,258.95012789148836,3355.0,4079.4,13.29,1,-0.85
161,Guangdong,2005,341.8488059247428,383.5883885457276,9194.0,21963.0,46.49,0,-0.85
162,Guangxi,2005,98.8688332028107,105.65462771428575,4660.0,3742.1,41.41,0,-0.85
163,Xinjiang,2005,101.06341912817197,101.06341912817197,2010.0,2520.5,2.94,1,-0.85
164,Jiangsu,2005,396.10230618810346,407.3163655259801,7588.0,18121.3,7.54,0,-0.85
165,Jiangxi,2005,96.35209132234395,98.17495177325283,4311.0,3941.2,55.86,0,-0.85
166,Hebei,2005,459.1315912495206,475.0520892033756,6851.0,8773.4,17.69,1,-0.85
167,Henan,2005,336.21086894884485,333.60646052540585,9380.0,10243.5,16.19,0,-0.85
168,Zhejiang,2005,255.8217629198037,274.60311918647994,4991.0,13028.3,54.41,0,-0.85
169,Hainan,2005,16.462106368354636,16.462106368354632,828.0,884.9,48.87,0,-0.85
170,Hubei,2005,189.25281411580164,175.95248287029892,5710.0,6469.7,26.77,0,-0.85
171,Hunan,2005,178.48029746614654,182.95982146982442,6326.0,6369.9,40.63,0,-0.85
172,Gansu,2005,84.24710025712882,85.76530427486988,2545.0,1864.6,6.66,1,-0.85
173,Fujian,2005,123.89974396498974,123.13474330877102,3557.0,6415.5,62.96,0,-0.85
174,Guizhou,2005,145.5964876096506,133.5565562699969,3730.0,1939.9,23.83,0,-0.85
175,Liaoning,2005,279.63790317709476,299.7675011032843,4221.0,7260.8,32.97,1,-0.85
176,Chongqing,2005,81.64411210465036,93.33599970375211,2798.0,3448.4,22.25,0,-0.85
177,Shaanxi,2005,122.31187677756532,117.95527125296475,3690.0,3817.2,32.55,1,-0.85
178,Qinghai,2005,19.89102104716688,20.800396860718653,543.0,499.4,4.4,1,-0.85
179,Heilongjiang,2005,158.0503302882191,150.99755766509566,3820.0,4756.4,39.54,1,-0.85
180,Shanghai,2006,165.24308647424473,191.12559828945297,1964.0,10598.9,3.17,0,0.26
181,Yunnan,2006,150.19078542851773,143.54347799051203,4483.0,4090.7,40.77,0,0.26
182,InnerMongolia,2006,290.67422687529756,236.14494454101484,2415.0,4161.8,17.7,1,0.26
183,Beijing,2006,96.66790259585086,136.51710484177067,1601.0,8387.0,21.26,1,0.26
184,Jilin,2006,158.905679123779,154.45808054699336,2723.0,3226.5,38.13,1,0.26
185,Sichuan,2006,189.77510864040948,187.6775015593428,8169.0,8494.7,30.27,0,0.26
186,Tianjin,2006,95.51667936914325,103.22760841520237,1075.0,3538.2,8.14,0,0.26
187,Ningxia,2006,58.831912151458425,58.43009791040778,604.0,683.3,6.08,1,0.26
188,Anhui,2006,175.77086805936864,169.98399750886483,6110.0,6500.3,24.03,0,0.26
189,Shandong,2006,605.5129207863811,603.061320037339,9309.0,18967.8,13.44,1,0.26
190,Shanxi,2006,320.11492354153717,285.15756018132953,3375.0,4713.6,13.29,1,0.26
191,Guangdong,2006,376.1648815814024,431.6039595952535,9442.0,25961.2,46.49,0,0.26
192,Guangxi,2006,112.84702722472754,119.35261789846864,4719.0,4417.8,41.41,0,0.26
193,Xinjiang,2006,113.92303771193431,113.92303771193431,2050.0,2957.3,2.94,1,0.26
194,Jiangsu,2006,440.94789480677787,448.9572366172428,7656.0,21240.8,7.54,0,0.26
195,Jiangxi,2006,108.82369254641571,109.91766821150239,4339.0,4696.8,55.86,0,0.26
196,Hebei,2006,486.74927533478217,518.0132932939962,6898.0,10043.0,17.69,1,0.26
197,Henan,2006,378.96726457254283,374.2385980848937,9392.0,11977.9,16.19,0,0.26
198,Zhejiang,2006,290.25271626278953,305.56555350959826,5072.0,15302.7,54.41,0,0.26
199,Hainan,2006,19.189180813866095,19.189180813866095,836.0,1027.5,48.87,0,0.26
200,Hubei,2006,225.2009713028013,213.76905387818894,5693.0,7531.8,26.77,0,0.26
201,Hunan,2006,203.1530009372578,206.40100634885354,6342.0,7431.6,40.63,0,0.26
202,Gansu,2006,89.4046082417153,89.83734170308729,2547.0,2203.0,6.66,1,0.26
203,Fujian,2006,135.42201906605686,133.7493812387739,3585.0,7468.6,62.96,0,0.26
204,Guizhou,2006,169.64187500958727,144.83418471303227,3690.0,2264.1,23.83,0,0.26
205,Liaoning,2006,317.89715687075693,339.805146429483,4271.0,8390.3,32.97,1,0.26
206,Chongqing,2006,90.03083984616961,101.90172496342234,2808.0,3900.3,22.25,0,0.26
207,Shaanxi,2006,128.68314212013937,131.47992516504098,3699.0,4595.6,32.55,1,0.26
208,Qinghai,2006,24.357939567850554,24.489625137696606,548.0,585.2,4.4,1,0.26
209,Heilongjiang,2006,179.02947181578858,171.08251597070804,3823.0,5329.8,39.54,1,0.26
210,Shanghai,2007,174.7746132947715,207.3714345556548,2064.0,12878.7,3.17,0,0.87
211,Yunnan,2007,161.23078829999284,151.69613179366812,4514.0,5077.4,40.77,0,0.87
212,InnerMongolia,2007,340.00193805494496,272.7332209451585,2429.0,5166.9,17.7,1,0.87
213,Beijing,2007,102.88989922498752,146.61501234529848,1676.0,10425.5,21.26,1,0.87
214,Jilin,2007,170.5014476539569,166.69594830674706,2730.0,4080.3,38.13,1,0.87
215,Sichuan,2007,208.48408119695574,208.09960948112285,8127.0,10562.1,30.27,0,0.87
216,Tianjin,2007,103.44722155465952,113.95209068712319,1115.0,4158.4,8.14,0,0.87
217,Ningxia,2007,66.49994144433164,65.64207945086191,610.0,877.6,6.08,1,0.87
218,Anhui,2007,197.6529384982752,189.79936897838462,6118.0,7941.6,24.03,0,0.87
219,Shandong,2007,662.9552559747367,662.9552559747367,9367.0,22718.1,13.44,1,0.87
220,Shanxi,2007,344.9414235121161,313.3765351777947,3393.0,5935.6,13.29,1,0.87
221,Guangdong,2007,410.14286685288874,482.15269648223205,9660.0,31742.6,46.49,0,0.87
222,Guangxi,2007,128.21514550415154,131.26634902449868,4768.0,5474.8,41.41,0,0.87
223,Xinjiang,2007,125.28367483515002,125.28367483515002,2095.0,3500.0,2.94,1,0.87
224,Jiangsu,2007,468.71044767237976,485.93745332443666,7723.0,25988.4,7.54,0,0.87
225,Jiangxi,2007,127.2091787784605,128.9355304464864,4368.0,5777.6,55.86,0,0.87
226,Hebei,2007,529.0252113991875,562.3003856664817,6943.0,12152.9,17.69,1,0.87
227,Henan,2007,426.2391947420675,422.8499935408141,9360.0,14824.5,16.19,0,0.87
228,Zhejiang,2007,325.3340873649783,338.07812827581233,5155.0,18640.0,54.41,0,0.87
229,Hainan,2007,21.672472092186005,21.672472092186005,845.0,1234.0,48.87,0,0.87
230,Hubei,2007,249.79314855541668,235.4716748624852,5699.0,9451.4,26.77,0,0.87
231,Hunan,2007,223.29688781518723,231.15585077553544,6355.0,9285.5,40.63,0,0.87
232,Gansu,2007,97.78653307448664,97.56619485696868,2548.0,2675.1,6.66,1,0.87
233,Fujian,2007,161.33739629740728,159.3978714264818,3612.0,9325.6,62.96,0,0.87
234,Guizhou,2007,171.97705640029886,146.51533107324957,3632.0,2847.5,23.83,0,0.87
235,Liaoning,2007,362.2384937790179,386.47644397492707,4298.0,10292.2,32.97,1,0.87
236,Chongqing,2007,99.16608723966124,109.3420634764483,2816.0,4770.7,22.25,0,0.87
237,Shaanxi,2007,148.11819442464508,144.27920169383316,3708.0,5681.8,32.55,1,0.87
238,Qinghai,2007,25.969322358233327,26.81094788904756,552.0,720.1,4.4,1,0.87
239,Heilongjiang,2007,187.37465448604698,178.39409028418342,3824.0,6126.3,39.54,1,0.87
240,Shanghai,2008,178.1545456961918,212.60594004663437,2141.0,14536.9,3.17,0,0.22
241,Yunnan,2008,163.7652542646937,153.7698965648251,4543.0,6016.6,40.77,0,0.22
242,InnerMongolia,2008,411.42506641457385,322.5076448360016,2444.0,6242.4,17.7,1,0.22
243,Beijing,2008,99.20892341111022,144.2132033937982,1771.0,11813.1,21.26,1,0.22
244,Jilin,2008,179.3568417804548,176.20487593380827,2734.0,4834.7,38.13,1,0.22
245,Sichuan,2008,230.14220042407163,230.8903475314415,8138.0,12756.2,30.27,0,0.22
246,Tianjin,2008,110.23015160436901,123.16293668902817,1176.0,5182.4,8.14,0,0.22
247,Ningxia,2008,75.39025213910588,73.53203267708328,618.0,1139.2,6.08,1,0.22
248,Anhui,2008,225.0171910787697,206.4723662080328,6135.0,9517.7,24.03,0,0.22
249,Shandong,2008,697.7301082068952,700.4692626725457,9417.0,27106.2,13.44,1,0.22
250,Shanxi,2008,370.9055722226618,331.8636514316647,3411.0,7223.0,13.29,1,0.22
251,Guangdong,2008,416.9225754005533,501.8243486868338,9893.0,36704.2,46.49,0,0.22
252,Guangxi,2008,132.978157912084,134.6358315967222,4816.0,6455.4,41.41,0,0.22
253,Xinjiang,2008,137.18970466869027,137.18970466869027,2131.0,4142.5,2.94,1,0.22
254,Jiangsu,2008,496.58220211500253,524.5922592612404,7762.0,30945.5,7.54,0,0.22
255,Jiangxi,2008,130.28926898866615,135.52512329478887,4400.0,6934.2,55.86,0,0.22
256,Hebei,2008,554.430384715875,599.7818047975677,6989.0,14200.1,17.69,1,0.22
257,Henan,2008,435.5624151629848,436.30141635054383,9429.0,17735.9,16.19,0,0.22
258,Zhejiang,2008,330.1611260318886,350.1414643913594,5212.0,21284.6,54.41,0,0.22
259,Hainan,2008,24.847157427525026,24.847157427525023,854.0,1474.7,48.87,0,0.22
260,Hubei,2008,253.97977885847462,240.06893226937171,5711.0,11497.5,26.77,0,0.22
261,Hunan,2008,226.52412243464207,254.69363379332287,6380.0,11307.4,40.63,0,0.22
262,Gansu,2008,103.34735406296203,105.14123761109117,2551.0,3071.7,6.66,1,0.22
263,Fujian,2008,165.74985826930669,165.59349336356098,3639.0,10931.8,62.96,0,0.22
264,Guizhou,2008,163.40030343569464,133.2341540623833,3596.0,3504.5,23.83,0,0.22
265,Liaoning,2008,371.406413845229,398.523673854149,4315.0,12137.7,32.97,1,0.22
266,Chongqing,2008,126.25321482528061,136.44323006572716,2839.0,5899.5,22.25,0,0.22
267,Shaanxi,2008,165.36150960455947,158.68501905241362,3718.0,7177.8,32.55,1,0.22
268,Qinghai,2008,31.57438318211816,32.83076486859954,554.0,896.9,4.4,1,0.22
269,Heilongjiang,2008,197.33701140843866,187.64119130777436,3825.0,7134.2,39.54,1,0.22
270,Shanghai,2009,179.0587576285867,215.66715143053676,2210.0,15742.4,3.17,0,-0.93
271,Yunnan,2009,187.16701742896836,172.560949172876,4571.0,6574.4,40.77,0,-0.93
272,InnerMongolia,2009,445.30972872596567,351.9407547115649,2458.0,7104.2,17.7,1,-0.93
273,Beijing,2009,100.38728321058926,150.3455816260563,1860.0,12900.9,21.26,1,-0.93
274,Jilin,2009,185.73168717994787,182.34599910190454,2740.0,5434.8,38.13,1,-0.93
275,Sichuan,2009,263.1147795152929,259.4820594077288,8185.0,14190.6,30.27,0,-0.93
276,Tianjin,2009,122.34688150535099,137.63762156856976,1228.0,5709.6,8.14,0,-0.93
277,Ningxia,2009,79.99776623501732,79.4794113025802,625.0,1266.7,6.08,1,-0.93
278,Anhui,2009,251.5141808835366,223.29856353966952,6131.0,10864.7,24.03,0,-0.93
279,Shandong,2009,717.8599456014658,717.8599456014658,9470.0,29540.8,13.44,1,-0.93
280,Shanxi,2009,375.42413564317155,328.39450652508384,3427.0,7147.6,13.29,1,-0.93
281,Guangdong,2009,437.57279109893886,534.1883112856065,10130.0,39464.7,46.49,0,-0.93
282,Guangxi,2009,151.7846715395258,154.03475562342146,4856.0,7112.9,41.41,0,-0.93
283,Xinjiang,2009,156.6827706987094,156.6827706987094,2159.0,4237.0,2.94,1,-0.93
284,Jiangsu,2009,515.622398002454,553.6557162134496,7810.0,34471.7,7.54,0,-0.93
285,Jiangxi,2009,142.18209598430767,150.44594062163466,4432.0,7630.0,55.86,0,-0.93
286,Hebei,2009,577.7937984617936,635.265170990044,7034.0,15306.9,17.69,1,-0.93
287,Henan,2009,450.7255636194815,453.1476884015979,9487.0,19181.0,16.19,0,-0.93
