,Province,Year,Scope 1 Total,Scope 1+2 Total,POP,GRP,Forest_Coverage_Rate,North,Mean_North_Winter_Temp
365,Sichuan,2012,338.29,352.8,8085.0,23922.4,34.31,0,-1.86
366,Tianjin,2012,160.33,174.62,1378.0,9043.0,8.24,0,-1.86
367,Ningxia,2012,136.59,172.7,659.0,2131.0,9.84,1,-1.86
368,Anhui,2012,324.0,359.31,5978.0,18341.7,26.06,0,-1.86
369,Shandong,2012,872.91,920.54,9708.0,42957.3,16.72,1,-1.86
370,Shanxi,2012,501.49,575.78,3548.0,11683.1,14.12,1,-1.86
371,Guangdong,2012,513.44,609.22,11041.0,57007.7,49.44,0,-1.86
372,Guangxi,2012,208.2,222.75,4694.0,11303.6,52.71,0,-1.86
373,Xinjiang,2012,256.08,258.83,2253.0,7411.8,4.02,1,-1.86
374,Jiangsu,2012,656.74,723.46,8120.0,53701.9,10.48,0,-1.86
375,Jiangxi,2012,166.16,176.69,4475.0,12807.7,58.32,0,-1.86
376,Hebei,2012,751.78,820.68,7262.0,23077.5,22.29,1,-1.86
377,Henan,2012,529.25,558.56,9532.0,28961.9,20.16,0,-1.86
378,Zhejiang,2012,380.76,419.17,5685.0,34382.4,57.41,0,-1.86
379,Hainan,2012,37.26,37.35,910.0,2789.4,51.98,0,-1.86
380,Hubei,2012,376.94,434.89,5781.0,22590.9,31.14,0,-1.86
381,Hunan,2012,291.22,334.41,6590.0,21207.2,44.76,0,-1.86
382,Gansu,2012,154.25,185.72,2550.0,5393.1,10.42,1,-1.86
383,Fujian,2012,233.9,237.94,3841.0,20190.7,63.1,0,-1.86
384,Guizhou,2012,232.28,262.89,3587.0,6742.2,31.61,0,-1.86
385,Liaoning,2012,481.32,541.63,4375.0,17848.6,35.13,1,-1.86
386,Chongqing,2012,171.65,197.56,2975.0,11595.4,34.85,0,-1.86
387,Shaanxi,2012,268.68,288.65,3787.0,14142.4,37.26,1,-1.86
388,Qinghai,2012,44.91,55.38,571.0,1528.5,4.57,1,-1.86
389,Heilongjiang,2012,279.46,298.15,3724.0,11015.8,42.39,1,-1.86
390,Shanghai,2013,207.63,254.15,2448.0,23204.1,9.41,0,-1.0
391,Yunnan,2013,211.51,191.42,4641.0,12825.5,47.5,0,-1.0
392,InnerMongolia,2013,590.56,463.73,2455.0,11392.4,20.0,1,-1.0
393,Beijing,2013,94.07,150.99,2125.0,21134.6,31.72,1,-1.0
394,Jilin,2013,223.48,216.1,2668.0,9427.9,38.93,1,-1.0
395,Sichuan,2013,351.77,338.74,8109.0,26518.0,34.31,0,-1.0
396,Tianjin,2013,159.65,176.2,1410.0,9945.4,8.24,0,-1.0
397,Ningxia,2013,144.11,120.19,666.0,2327.7,9.84,1,-1.0
398,Anhui,2013,356.73,322.53,5988.0,20584.0,26.06,0,-1.0
399,Shandong,2013,794.21,841.54,9746.0,47344.3,16.72,1,-1.0
400,Shanxi,2013,508.76,440.34,3535.0,11987.2,14.12,1,-1.0
401,Guangdong,2013,506.56,614.0,11270.0,62503.4,49.44,0,-1.0
402,Guangxi,2013,213.71,220.16,4731.0,12448.4,52.71,0,-1.0
403,Xinjiang,2013,296.46,292.04,2285.0,8392.6,4.02,1,-1.0
404,Jiangsu,2013,706.62,765.19,8192.0,59349.4,10.48,0,-1.0
405,Jiangxi,2013,202.41,209.39,4476.0,14300.2,58.32,0,-1.0
406,Hebei,2013,823.11,895.61,7288.0,24259.6,22.29,1,-1.0
407,Henan,2013,492.9,515.83,9573.0,31632.5,20.16,0,-1.0
408,Zhejiang,2013,382.43,434.76,5784.0,37334.6,57.41,0,-1.0
409,Hainan,2013,39.47,39.47,920.0,3115.9,51.98,0,-1.0
410,Hubei,2013,319.46,326.05,5798.0,25378.0,31.14,0,-1.0
411,Hunan,2013,281.2,301.14,6600.0,23545.2,44.76,0,-1.0
412,Gansu,2013,160.9,162.91,2537.0,6014.5,10.42,1,-1.0
413,Fujian,2013,236.15,235.22,3885.0,22503.8,63.1,0,-1.0
414,Guizhou,2013,235.47,204.94,3632.0,7973.1,31.61,0,-1.0
415,Liaoning,2013,502.56,547.41,4365.0,19208.8,35.13,1,-1.0
416,Chongqing,2013,149.12,171.67,3011.0,13027.6,34.85,0,-1.0
417,Shaanxi,2013,273.35,248.25,3804.0,15905.4,37.26,1,-1.0
418,Qinghai,2013,48.15,59.78,571.0,1713.3,4.57,1,-1.0
419,Heilongjiang,2013,266.45,263.14,3666.0,11849.1,42.39,1,-1.0
420,Shanghai,2014,194.22,264.11,2467.0,25269.8,10.74,0,0.35
421,Yunnan,2014,199.73,217.13,4653.0,14041.7,50.03,0,0.35
422,InnerMongolia,2014,600.61,733.04,2449.0,12158.2,21.03,1,0.35
423,Beijing,2014,93.26,151.06,2171.0,22926.0,35.84,1,0.35
424,Jilin,2014,223.31,261.03,2642.0,9966.5,40.38,1,0.35
425,Sichuan,2014,351.48,374.77,8139.0,28891.3,35.22,0,0.35
426,Tianjin,2014,158.11,177.52,1429.0,10640.6,9.87,0,0.35
427,Ningxia,2014,144.57,174.98,678.0,2473.9,11.89,1,0.35
428,Anhui,2014,363.27,397.94,5997.0,22519.7,27.53,0,0.35
429,Shandong,2014,819.06,866.4,9808.0,50774.8,16.73,1,0.35
430,Shanxi,2014,498.32,570.33,3528.0,12094.7,18.03,1,0.35
431,Guangdong,2014,513.87,697.24,11489.0,68173.0,51.26,0,0.35
432,Guangxi,2014,212.2,225.58,4770.0,13587.8,56.51,0,0.35
433,Xinjiang,2014,332.08,343.91,2325.0,9264.5,4.24,1,0.35
434,Jiangsu,2014,708.24,795.32,8281.0,64830.5,15.8,0,0.35
435,Jiangxi,2014,207.66,221.81,4480.0,15667.8,60.01,0,0.35
436,Hebei,2014,791.43,872.81,7323.0,25208.9,23.41,1,0.35
437,Henan,2014,544.98,596.57,9645.0,34574.8,21.5,0,0.35
438,Zhejiang,2014,378.78,448.63,5890.0,40023.5,59.07,0,0.35
439,Hainan,2014,40.74,41.34,936.0,3449.0,55.38,0,0.35
440,Hubei,2014,320.15,385.06,5816.0,28242.1,38.4,0,0.35
441,Hunan,2014,278.68,308.22,6611.0,25881.3,47.77,0,0.35
442,Gansu,2014,164.62,190.09,2531.0,6518.4,11.28,1,0.35
443,Fujian,2014,249.35,250.32,3945.0,24942.1,65.95,0,0.35
444,Guizhou,2014,233.31,259.95,3677.0,9173.1,37.09,0,0.35
445,Liaoning,2014,506.39,585.95,4358.0,20025.7,38.24,1,0.35
446,Chongqing,2014,162.9,187.14,3043.0,14623.8,38.43,0,0.35
447,Shaanxi,2014,285.34,311.81,3827.0,17402.5,41.42,1,0.35
448,Qinghai,2014,48.75,63.36,576.0,1847.7,5.63,1,0.35
449,Heilongjiang,2014,277.89,298.72,3608.0,12170.8,43.16,1,0.35
450,Shanghai,2015,195.32,254.19,2458.0,26887.0,10.74,0,0.42
451,Yunnan,2015,179.82,168.43,4663.0,14960.0,50.03,0,0.42
452,InnerMongolia,2015,601.55,482.35,2440.0,12949.0,21.03,1,0.42
453,Beijing,2015,92.76,145.98,2188.0,24779.1,35.84,1,0.42
454,Jilin,2015,208.31,205.57,2613.0,10018.0,40.38,1,0.42
455,Sichuan,2015,332.38,321.51,8196.0,30342.0,35.22,0,0.42
456,Tianjin,2015,154.35,174.67,1439.0,10879.5,9.87,0,0.42
457,Ningxia,2015,141.82,122.23,684.0,2579.4,11.89,1,0.42
458,Anhui,2015,363.91,333.93,6011.0,23831.2,27.53,0,0.42
459,Shandong,2015,854.46,902.96,9866.0,55288.8,16.73,1,0.42
460,Shanxi,2015,461.61,405.74,3519.0,11836.4,18.03,1,0.42
461,Guangdong,2015,515.08,647.06,11678.0,74732.4,51.26,0,0.42
462,Guangxi,2015,203.06,212.77,4811.0,14797.8,56.51,0,0.42
463,Xinjiang,2015,345.73,326.88,2385.0,9306.9,4.24,1,0.42
464,Jiangsu,2015,721.65,792.53,8315.0,71255.9,15.8,0,0.42
465,Jiangxi,2015,216.14,217.11,4485.0,16780.9,60.01,0,0.42
466,Hebei,2015,788.41,854.82,7345.0,26398.4,23.41,1,0.42
467,Henan,2015,527.43,581.57,9701.0,37084.1,21.5,0,0.42
468,Zhejiang,2015,378.84,436.18,5985.0,43507.7,59.07,0,0.42
469,Hainan,2015,42.28,43.32,945.0,3734.2,55.38,0,0.42
470,Hubei,2015,318.0,326.61,5850.0,30344.0,38.4,0,0.42
471,Hunan,2015,292.53,317.72,6615.0,28538.6,47.77,0,0.42
472,Gansu,2015,160.08,160.38,2523.0,6556.6,11.28,1,0.42
473,Fujian,2015,234.24,233.03,3984.0,26819.5,65.95,0,0.42
474,Guizhou,2015,234.98,203.56,3708.0,10541.0,37.09,0,0.42
475,Liaoning,2015,493.94,533.41,4338.0,20210.3,38.24,1,0.42
476,Chongqing,2015,164.2,187.98,3070.0,16040.5,38.43,0,0.42
477,Shaanxi,2015,284.03,257.89,3846.0,17898.8,41.42,1,0.42
478,Qinghai,2015,51.36,61.64,577.0,2011.0,5.63,1,0.42
479,Heilongjiang,2015,273.28,267.65,3529.0,11690.0,43.16,1,0.42
480,Shanghai,2016,194.71,268.26,2467.0,29887.0,10.74,0,2.7
481,Yunnan,2016,183.88,195.32,4677.0,16369.0,50.03,0,2.7
482,InnerMongolia,2016,606.11,723.38,2436.0,13789.3,21.03,1,2.7
483,Beijing,2016,89.98,148.95,2195.0,27041.2,35.84,1,2.7
484,Jilin,2016,201.39,229.44,2567.0,10427.0,40.38,1,2.7
485,Sichuan,2016,319.1,335.88,8251.0,33138.5,35.22,0,2.7
486,Tianjin,2016,148.95,170.25,1443.0,11477.2,9.87,0,2.7
487,Ningxia,2016,139.49,172.17,695.0,2781.4,11.89,1,2.7
488,Anhui,2016,376.15,414.88,6033.0,26307.7,27.53,0,2.7
489,Shandong,2016,863.43,935.01,9973.0,58762.5,16.73,1,2.7
490,Shanxi,2016,474.56,545.8,3514.0,11946.4,18.03,1,2.7
491,Guangdong,2016,530.32,684.21,11908.0,82163.2,51.26,0,2.7
492,Guangxi,2016,216.8,229.68,4857.0,16116.6,56.51,0,2.7
493,Xinjiang,2016,373.61,397.68,2428.0,9630.8,4.24,1,2.7
494,Jiangsu,2016,743.04,836.9,8381.0,77350.9,15.8,0,2.7
495,Jiangxi,2016,219.1,228.57,4496.0,18388.6,60.01,0,2.7
496,Hebei,2016,807.56,869.34,7375.0,28474.1,23.41,1,2.7
497,Henan,2016,521.47,578.83,9778.0,40249.3,21.5,0,2.7
498,Zhejiang,2016,374.57,456.07,6072.0,47254.0,59.07,0,2.7
499,Hainan,2016,39.85,39.95,957.0,4090.2,55.38,0,2.7
500,Hubei,2016,319.76,373.42,5885.0,33353.0,38.4,0,2.7
501,Hunan,2016,308.09,332.6,6625.0,30853.5,47.77,0,2.7
502,Gansu,2016,153.94,177.13,2520.0,6907.9,11.28,1,2.7
503,Fujian,2016,217.93,219.96,4016.0,29609.4,65.95,0,2.7
504,Guizhou,2016,250.97,284.35,3758.0,11792.4,37.09,0,2.7
505,Liaoning,2016,480.47,559.47,4327.0,20392.5,38.24,1,2.7
506,Chongqing,2016,156.58,182.4,3110.0,18023.0,38.43,0,2.7
507,Shaanxi,2016,272.29,307.7,3874.0,19045.8,41.42,1,2.7
508,Qinghai,2016,56.67,68.92,582.0,2258.2,5.63,1,2.7
509,Heilongjiang,2016,277.68,296.05,3463.0,11895.0,43.16,1,2.7
510,Shanghai,2017,196.15,264.21,2466.0,32925.0,10.74,0,1.42
511,Yunnan,2017,199.01,187.71,4693.0,18486.0,50.03,0,1.42
512,InnerMongolia,2017,656.85,524.04,2433.0,14898.1,21.03,1,1.42
513,Beijing,2017,85.56,152.19,2194.0,29883.0,35.84,1,1.42
514,Jilin,2017,204.34,198.48,2526.0,10922.0,40.38,1,1.42
515,Sichuan,2017,318.84,312.69,8289.0,37905.1,35.22,0,1.42
516,Tianjin,2017,143.99,166.63,1410.0,12450.6,9.87,0,1.42
517,Ningxia,2017,178.62,151.05,705.0,3200.3,11.89,1,1.42
518,Anhui,2017,382.22,346.45,6057.0,29676.2,27.53,0,1.42
519,Shandong,2017,835.82,891.44,10033.0,63012.1,16.73,1,1.42
520,Shanxi,2017,508.59,449.38,3510.0,14484.3,18.03,1,1.42
521,Guangdong,2017,556.86,771.94,12141.0,91648.7,51.26,0,1.42
522,Guangxi,2017,227.89,238.42,4907.0,17790.7,56.51,0,1.42
523,Xinjiang,2017,407.76,379.8,2480.0,11159.9,4.24,1,1.42
524,Jiangsu,2017,757.88,849.28,8423.0,85869.8,15.8,0,1.42
525,Jiangxi,2017,228.98,242.25,4511.0,20210.8,60.01,0,1.42
526,Hebei,2017,792.33,877.66,7409.0,30640.8,23.41,1,1.42
527,Henan,2017,501.86,554.69,9829.0,44824.9,21.5,0,1.42
528,Zhejiang,2017,384.56,478.21,6170.0,52403.1,59.07,0,1.42
529,Hainan,2017,42.16,42.14,972.0,4497.5,55.38,0,1.42
530,Hubei,2017,331.61,337.53,5904.0,37235.0,38.4,0,1.42
531,Hunan,2017,323.66,342.23,6633.0,33828.1,47.77,0,1.42
532,Gansu,2017,151.96,155.18,2522.0,7336.7,11.28,1,1.42
533,Fujian,2017,234.97,232.38,4065.0,33842.4,65.95,0,1.42
534,Guizhou,2017,257.66,226.22,3803.0,13605.4,37.09,0,1.42
535,Liaoning,2017,496.83,538.01,4312.0,21693.0,38.24,1,1.42
536,Chongqing,2017,160.55,187.75,3144.0,20066.3,38.43,0,1.42
537,Shaanxi,2017,274.03,265.3,3904.0,21473.5,41.42,1,1.42
538,Qinghai,2017,53.49,63.62,586.0,2465.1,5.63,1,1.42
539,Heilongjiang,2017,276.91,276.39,3399.0,12313.0,43.16,1,1.42
540,Shanghai,2018,190.64,264.32,2475.0,36011.8,10.74,0,1.65
541,Yunnan,2018,212.24,197.74,4703.0,20880.6,50.03,0,1.65
542,InnerMongolia,2018,723.57,589.44,2422.0,16140.8,21.03,1,1.65
543,Beijing,2018,88.41,157.02,2192.0,33106.0,35.84,1,1.65
544,Jilin,2018,196.25,190.74,2484.0,11253.8,40.38,1,1.65
545,Sichuan,2018,296.31,294.91,8321.0,42902.1,35.22,0,1.65
546,Tianjin,2018,154.34,175.4,1383.0,13362.9,9.87,0,1.65
547,Ningxia,2018,191.59,158.89,710.0,3510.2,11.89,1,1.65
548,Anhui,2018,398.98,361.05,6076.0,34010.9,27.53,0,1.65
549,Shandong,2018,901.65,970.15,10077.0,66648.9,16.73,1,1.65
550,Shanxi,2018,541.8,473.78,3502.0,15958.1,18.03,1,1.65
551,Guangdong,2018,567.51,730.17,12348.0,99945.2,51.26,0,1.65
552,Guangxi,2018,231.83,244.09,4947.0,19627.8,56.51,0,1.65
553,Xinjiang,2018,421.42,390.6,2520.0,12809.4,4.24,1,1.65
554,Jiangsu,2018,764.05,869.4,8446.0,93207.6,15.8,0,1.65
555,Jiangxi,2018,236.63,251.29,4513.0,22716.5,60.01,0,1.65
556,Hebei,2018,912.2,988.77,7426.0,32494.6,23.41,1,1.65
557,Henan,2018,490.68,550.22,9864.0,49935.9,21.5,0,1.65
558,Zhejiang,2018,388.83,501.24,6273.0,58002.8,59.07,0,1.65
559,Hainan,2018,42.19,42.36,982.0,4910.7,55.38,0,1.65
560,Hubei,2018,329.08,322.65,5917.0,42022.0,38.4,0,1.65
561,Hunan,2018,305.97,329.85,6635.0,36329.7,47.77,0,1.65
562,Gansu,2018,162.99,167.11,2515.0,8104.1,11.28,1,1.65
563,Fujian,2018,261.46,255.41,4104.0,38687.8,65.95,0,1.65
564,Guizhou,2018,252.99,222.32,3822.0,15353.2,37.09,0,1.65
565,Liaoning,2018,521.0,566.55,4291.0,23510.5,38.24,1,1.65
566,Chongqing,2018,160.6,194.3,3163.0,21588.8,38.43,0,1.65
567,Shaanxi,2018,276.17,275.54,3931.0,23941.9,41.42,1,1.65
568,Qinghai,2018,51.94,58.9,587.0,2748.0,5.63,1,1.65
569,Heilongjiang,2018,248.28,214.28,3327.0,12846.5,43.16,1,1.65
570,Shanghai,2019,192.91,268.62,2481.0,37987.6,14.04,0,3.71
571,Yunnan,2019,185.96,171.28,4714.0,23223.8,55.04,0,3.71
572,InnerMongolia,2019,794.28,643.12,2415.0,17212.5,22.1,1,3.71
573,Beijing,2019,88.16,157.73,2190.0,35445.1,43.77,1,3.71
574,Jilin,2019,203.66,196.51,2448.0,11726.8,41.49,1,3.71
575,Sichuan,2019,315.16,312.51,8351.0,46363.8,38.03,0,3.71
576,Tianjin,2019,158.47,180.85,1385.0,14055.5,12.07,0,3.71
577,Ningxia,2019,212.41,175.26,717.0,3748.5,12.63,1,3.71
578,Anhui,2019,408.06,375.55,6092.0,36845.5,28.65,0,3.71
579,Shandong,2019,937.12,1028.41,10106.0,70540.5,17.51,1,3.71
580,Shanxi,2019,566.48,498.25,3497.0,16961.6,20.5,1,3.71
581,Guangdong,2019,585.81,755.65,12489.0,107986.9,53.52,0,3.71
582,Guangxi,2019,246.72,258.66,4982.0,21237.1,60.17,0,3.71
583,Xinjiang,2019,455.27,413.94,2559.0,13597.1,4.87,1,3.71
584,Jiangsu,2019,804.59,918.0,8469.0,98656.8,15.2,0,3.71
585,Jiangxi,2019,242.31,257.88,4516.0,24667.3,61.16,0,3.71
586,Hebei,2019,914.21,995.5,7447.0,34978.6,26.78,1,3.71
587,Henan,2019,460.63,531.1,9901.0,53717.8,24.14,0,3.71
588,Zhejiang,2019,381.41,506.77,6375.0,62462.0,59.43,0,3.71
589,Hainan,2019,43.07,44.04,995.0,5330.8,57.36,0,3.71
590,Hubei,2019,354.75,346.36,5927.0,45429.0,39.61,0,3.71
591,Hunan,2019,310.64,345.49,6640.0,39894.1,49.69,0,3.71
592,Gansu,2019,164.49,171.97,2509.0,8718.3,11.33,1,3.71
593,Fujian,2019,278.11,271.44,4137.0,42326.6,66.8,0,3.71
594,Guizhou,2019,261.13,226.65,3848.0,16769.3,43.77,0,3.71
595,Liaoning,2019,533.39,583.14,4277.0,24855.3,39.24,1,3.71
596,Chongqing,2019,156.25,193.06,3188.0,23605.8,43.11,0,3.71
597,Shaanxi,2019,296.27,289.55,3944.0,25793.2,43.06,1,3.71
598,Qinghai,2019,51.75,57.2,590.0,2941.1,5.82,1,3.71
599,Heilongjiang,2019,278.21,274.14,3255.0,13544.4,43.78,1,3.71
